model_size,init_time,tokens,decode_time,speed,count
1b,0.79,30,0.54,55.62,5
1b,0.71,30,0.36,83.77,5
1b,0.68,30,0.36,83.50,5
1b,0.61,30,0.26,115.77,5
1b,0.69,30,0.36,83.14,5
1b,0.78,30,0.45,66.05,5
1b,0.70,30,0.36,83.11,5
1b,0.68,30,0.35,86.37,5
1b,0.68,30,0.35,85.27,5
1b,0.69,30,0.39,76.46,5
1b,0.80,30,0.51,58.50,5
1b,0.70,30,0.35,84.83,5
1b,0.68,30,0.35,85.02,5
1b,0.70,30,0.35,86.89,5
1b,0.69,30,0.35,86.28,5
1b,0.80,30,0.49,60.77,5
1b,0.70,30,0.36,84.38,5
1b,0.70,30,0.36,82.59,5
1b,0.68,30,0.34,87.12,5
1b,0.69,30,0.35,85.76,5
1b,0.78,30,0.46,65.59,5
1b,0.71,30,0.36,82.72,5
1b,0.68,30,0.35,84.83,5
1b,0.68,30,0.35,85.85,5
1b,0.69,30,0.35,84.76,5
1b,0.79,30,0.46,65.81,5
1b,0.69,30,0.36,84.14,5
1b,0.62,30,0.26,115.99,5
1b,0.68,30,0.35,86.46,5
1b,0.68,30,0.34,87.09,5
1b,0.79,30,0.46,64.63,5
1b,0.70,30,0.37,80.40,5
1b,0.68,30,0.35,85.55,5
1b,0.69,30,0.37,81.47,5
1b,0.64,30,0.26,115.28,5
1b,0.79,30,0.47,64.08,5
1b,0.70,30,0.36,84.42,5
1b,0.68,30,0.36,84.01,5
1b,0.70,30,0.36,82.64,5
1b,0.63,30,0.26,116.99,5
1b,0.84,30,0.56,53.84,5
1b,0.70,30,0.36,82.83,5
1b,0.69,30,0.37,82.18,5
1b,0.69,30,0.36,84.07,5
1b,0.64,30,0.26,114.26,5
1b,0.80,30,0.47,64.47,5
1b,0.70,30,0.35,84.88,5
1b,0.61,30,0.26,113.84,5
1b,0.68,30,0.36,83.40,5
1b,0.69,30,0.35,85.42,5
1b,0.79,30,0.49,60.77,5
1b,0.71,30,0.35,85.32,5
1b,0.69,30,0.35,85.05,5
1b,0.69,30,0.35,85.82,5
1b,0.68,30,0.35,84.66,5
1b,0.79,30,0.47,64.37,5
1b,0.70,30,0.37,81.95,5
1b,0.68,30,0.36,84.30,5
1b,0.69,30,0.36,83.74,5
1b,0.69,30,0.38,78.52,5
1b,0.79,30,0.49,61.07,5
1b,0.70,30,0.35,85.44,5
1b,0.70,30,0.36,84.36,5
1b,0.69,30,0.35,84.60,5
1b,0.68,30,0.36,83.97,5
1b,0.78,30,0.46,65.33,5
1b,0.70,30,0.36,83.28,5
1b,0.70,30,0.36,84.04,5
1b,0.66,30,0.35,84.62,5
1b,0.69,30,0.36,82.79,5
1b,0.78,30,0.47,64.07,5
1b,0.71,30,0.36,83.01,5
1b,0.69,30,0.35,85.45,5
1b,0.66,30,0.36,83.95,5
1b,0.69,30,0.35,85.33,5
1b,0.78,30,0.61,49.54,5
1b,0.66,30,0.38,78.21,5
1b,0.65,30,0.31,97.69,5
1b,0.65,30,0.39,77.64,5
1b,0.66,30,0.32,95.19,5
1b,0.82,30,0.55,54.28,5
1b,0.70,30,0.35,84.97,5
1b,0.68,30,0.35,85.19,5
1b,0.62,30,0.29,104.65,5
1b,0.68,30,0.35,85.34,5
1b,0.79,30,0.46,65.45,5
1b,0.70,30,0.35,86.06,5
1b,0.63,30,0.26,117.18,5
1b,0.68,30,0.35,84.69,5
1b,0.68,30,0.39,77.70,5
1b,0.78,30,0.46,64.93,5
1b,0.69,30,0.35,84.99,5
1b,0.69,30,0.35,86.07,5
1b,0.69,30,0.35,85.72,5
1b,0.69,30,0.35,85.18,5
1b,0.85,30,0.51,58.40,5
1b,0.70,30,0.35,85.41,5
1b,0.68,30,0.35,84.94,5
1b,0.68,30,0.36,84.25,5
1b,0.68,30,0.35,86.24,5
1b,0.80,30,0.50,60.58,5
1b,0.68,30,0.35,86.35,5
1b,0.66,30,0.35,85.03,5
1b,0.69,30,0.35,86.68,5
1b,0.65,30,0.39,77.67,5
1b,0.78,30,0.49,61.56,5
1b,0.70,30,0.35,85.95,5
1b,0.68,30,0.35,84.98,5
1b,0.68,30,0.34,87.69,5
1b,0.68,30,0.35,86.66,5
1b,0.78,30,0.49,61.56,5
1b,0.71,30,0.35,86.47,5
1b,0.63,30,0.28,105.93,5
1b,0.68,30,0.34,87.25,5
1b,0.68,30,0.35,85.96,5
1b,0.92,30,0.55,54.31,5
1b,0.70,30,0.36,83.33,5
1b,0.68,30,0.35,85.56,5
1b,0.61,30,0.27,112.56,5
1b,0.69,30,0.42,71.14,5
1b,0.79,30,0.46,65.31,5
1b,0.71,30,0.36,83.41,5
1b,0.69,30,0.35,85.38,5
1b,0.68,30,0.35,84.95,5
1b,0.64,30,0.26,113.89,5
1b,0.82,30,0.56,53.67,5
1b,0.69,30,0.36,84.18,5
1b,0.69,30,0.35,85.61,5
1b,0.69,30,0.36,83.43,5
1b,0.73,30,0.30,100.14,5
1b,0.79,30,0.46,65.30,5
1b,0.70,30,0.36,83.87,5
