model_size,init_time,tokens,decode_time,speed,count
4b,0.99,30,0.39,76.40,10
4b,1.14,30,0.38,79.25,10
4b,1.22,30,0.38,79.62,10
4b,1.26,30,0.38,79.33,10
4b,1.14,30,0.39,76.12,10
4b,1.22,30,0.37,80.77,10
4b,1.29,30,0.38,79.21,10
4b,1.09,30,0.41,73.86,10
4b,1.30,30,0.45,66.10,10
4b,1.00,30,0.43,69.35,10
4b,0.93,30,0.38,79.04,10
4b,1.14,30,0.38,79.25,10
4b,1.27,30,0.43,69.31,10
4b,0.94,30,0.45,67.05,10
4b,1.22,30,0.37,80.85,10
4b,1.27,30,0.39,76.98,10
4b,1.20,30,0.44,68.20,10
4b,1.31,30,0.38,79.01,10
4b,1.16,30,0.38,78.69,10
4b,1.24,30,0.37,80.96,10
4b,0.97,30,0.39,76.42,10
4b,1.08,30,0.38,78.50,10
4b,1.15,30,0.38,78.80,10
4b,1.10,30,0.41,72.57,10
4b,1.30,30,0.43,70.48,10
4b,1.30,30,0.44,68.18,10
4b,1.25,30,0.38,78.23,10
4b,1.19,30,0.46,65.69,10
4b,1.16,30,0.38,78.97,10
4b,1.32,30,0.42,71.85,10
4b,0.96,30,0.39,77.50,10
4b,1.12,30,0.38,79.10,10
4b,1.13,30,0.42,71.91,10
4b,1.07,30,0.39,77.74,10
4b,1.22,30,0.37,80.33,10
4b,1.27,30,0.38,78.10,10
4b,1.13,30,0.39,77.14,10
4b,1.23,30,0.38,78.68,10
4b,1.13,30,0.38,78.42,10
4b,1.20,30,0.36,82.25,10
4b,0.98,30,0.40,74.75,10
4b,1.20,30,0.42,71.51,10
4b,1.09,30,0.45,67.39,10
4b,1.22,30,0.38,78.79,10
4b,1.29,30,0.38,78.86,10
4b,1.16,30,0.38,78.91,10
4b,1.28,30,0.43,70.10,10
4b,1.14,30,0.41,73.94,10
4b,1.21,30,0.38,79.71,10
4b,1.23,30,0.37,81.57,10
4b,1.00,30,0.40,74.17,10
4b,1.18,30,0.38,79.86,10
4b,1.22,30,0.38,79.93,10
4b,1.11,30,0.39,77.32,10
4b,1.18,30,0.37,80.39,10
4b,1.28,30,0.39,76.92,10
4b,1.34,30,0.39,76.15,10
4b,1.16,30,0.39,76.36,10
4b,1.23,30,0.37,80.22,10
4b,1.15,30,0.41,73.47,10
4b,0.97,30,0.39,77.91,10
4b,1.09,30,0.38,79.07,10
4b,1.25,30,0.42,70.75,10
4b,1.07,30,0.41,72.62,10
4b,1.20,30,0.37,80.44,10
4b,1.27,30,0.38,78.28,10
4b,1.26,30,0.41,72.91,10
4b,1.16,30,0.39,77.26,10
4b,1.21,30,0.37,81.21,10
4b,1.32,30,0.37,80.94,10
4b,1.14,30,0.38,79.14,10
4b,1.19,30,0.38,79.01,10
4b,1.24,30,0.43,70.06,10
4b,1.34,30,0.39,77.34,10
4b,1.15,30,0.39,76.04,10
4b,1.22,30,0.38,79.76,10
4b,1.14,30,0.41,72.74,10
4b,1.12,30,0.41,73.31,10
4b,1.19,30,0.38,78.39,10
4b,1.04,30,0.37,81.03,10
4b,0.91,30,0.38,79.89,10
4b,1.18,30,0.38,78.45,10
4b,1.10,30,0.43,70.48,10
4b,1.09,30,0.40,75.62,10
4b,1.29,30,0.43,70.45,10
4b,1.13,30,0.39,76.57,10
4b,1.27,30,0.39,77.79,10
4b,1.32,30,0.42,70.65,10
4b,1.14,30,0.40,75.75,10
4b,1.20,30,0.37,81.26,10
4b,0.92,30,0.38,77.98,10
4b,1.04,30,0.40,74.38,10
4b,1.23,30,0.43,69.99,10
4b,1.21,30,0.42,70.93,10
4b,1.17,30,0.38,78.61,10
4b,1.22,30,0.37,80.04,10
4b,1.29,30,0.42,70.95,10
4b,1.10,30,0.41,73.81,10
4b,1.20,30,0.38,79.20,10
4b,1.11,30,0.40,75.70,10
4b,1.06,30,0.38,78.29,10
4b,1.20,30,0.43,70.35,10
4b,1.15,30,0.37,80.09,10
4b,1.32,30,0.42,70.77,10
4b,1.28,30,0.38,77.97,10
4b,1.33,30,0.43,70.18,10
4b,1.26,30,0.38,78.01,10
4b,1.19,30,0.40,74.30,10
4b,1.17,30,0.39,76.22,10
4b,1.29,30,0.37,81.57,10
4b,0.92,30,0.38,79.39,10
4b,1.16,30,0.38,79.54,10
4b,1.11,30,0.42,71.07,10
4b,1.04,30,0.40,75.31,10
4b,1.13,30,0.39,77.80,10
4b,1.24,30,0.38,79.28,10
4b,1.30,30,0.43,69.73,10
4b,1.09,30,0.43,69.94,10
4b,1.27,30,0.38,78.45,10
4b,1.21,30,0.39,76.37,10
4b,0.97,30,0.40,74.76,10
4b,1.09,30,0.38,78.68,10
4b,1.15,30,0.38,78.62,10
4b,1.09,30,0.42,71.13,10
4b,1.19,30,0.38,79.14,10
4b,1.15,30,0.39,77.01,10
4b,1.28,30,0.47,64.12,10
4b,0.97,30,0.47,63.87,10
4b,1.22,30,0.37,80.73,10
4b,1.11,30,0.37,81.27,10
4b,0.98,30,0.38,78.24,10
4b,1.12,30,0.38,78.82,10
4b,1.17,30,0.39,77.43,10
4b,1.10,30,0.40,74.68,10
4b,1.26,30,0.38,79.52,10
4b,1.12,30,0.38,78.05,10
4b,1.19,30,0.38,78.54,10
4b,1.11,30,0.41,73.86,10
4b,1.18,30,0.37,80.26,10
4b,1.24,30,0.37,81.00,10
4b,0.99,30,0.39,77.52,10
4b,1.09,30,0.39,76.35,10
4b,1.16,30,0.38,79.16,10
4b,1.12,30,0.41,72.69,10
4b,1.16,30,0.41,73.42,10
4b,1.30,30,0.38,78.83,10
4b,1.07,30,0.41,72.48,10
4b,1.26,30,0.38,79.02,10
4b,1.12,30,0.38,79.68,10
4b,1.28,30,0.37,81.83,10
4b,0.98,30,0.38,78.15,10
4b,1.15,30,0.38,79.84,10
4b,1.23,30,0.38,79.61,10
4b,1.05,30,0.40,75.62,10
4b,1.15,30,0.38,78.40,10
4b,1.21,30,0.37,80.29,10
4b,1.12,30,0.39,77.67,10
4b,1.18,30,0.38,79.27,10
4b,1.15,30,0.46,65.12,10
4b,1.17,30,0.39,77.47,10
4b,0.91,30,0.38,78.92,10
4b,1.11,30,0.37,80.90,10
4b,1.16,30,0.39,76.34,10
4b,1.08,30,0.44,68.72,10
4b,1.19,30,0.38,79.46,10
4b,1.09,30,0.39,76.25,10
4b,1.16,30,0.38,79.37,10
4b,1.11,30,0.42,72.25,10
4b,1.19,30,0.37,80.06,10
4b,1.07,30,0.37,81.18,10
4b,1.06,30,0.38,78.23,10
4b,1.21,30,0.39,77.61,10
4b,1.07,30,0.40,74.28,10
4b,1.28,30,0.40,74.21,10
4b,1.13,30,0.39,76.04,10
4b,1.31,30,0.38,78.04,10
4b,1.14,30,0.39,77.85,10
4b,1.22,30,0.38,78.75,10
4b,1.16,30,0.39,76.37,10
4b,1.20,30,0.37,81.47,10
4b,0.97,30,0.40,75.06,10
4b,1.08,30,0.38,79.49,10
4b,1.24,30,0.38,79.52,10
4b,1.02,30,0.43,69.07,10
4b,1.17,30,0.38,79.81,10
4b,1.27,30,0.43,69.95,10
4b,1.07,30,0.42,71.95,10
4b,1.25,30,0.38,79.66,10
4b,1.07,30,0.39,77.37,10
4b,1.17,30,0.37,81.47,10
4b,0.92,30,0.38,79.26,10
4b,1.13,30,0.39,77.55,10
4b,1.15,30,0.41,73.70,10
4b,1.23,30,0.39,77.85,10
4b,1.15,30,0.38,78.94,10
4b,1.25,30,0.38,78.19,10
4b,1.14,30,0.38,78.20,10
4b,1.20,30,0.39,77.87,10
4b,1.16,30,0.39,77.09,10
4b,1.21,30,0.37,81.76,10
4b,0.99,30,0.39,76.35,10
4b,1.09,30,0.38,78.53,10
4b,1.14,30,0.38,78.56,10
4b,1.24,30,0.43,69.36,10
4b,1.16,30,0.39,77.73,10
4b,1.24,30,0.38,78.39,10
4b,1.14,30,0.38,79.61,10
4b,1.24,30,0.38,78.82,10
4b,1.14,30,0.38,79.18,10
4b,1.18,30,0.37,81.29,10
4b,0.98,30,0.39,76.29,10
4b,1.08,30,0.38,79.22,10
4b,1.24,30,0.42,70.82,10
4b,1.03,30,0.43,70.22,10
4b,1.19,30,0.38,79.89,10
4b,1.29,30,0.39,76.73,10
4b,1.20,30,0.38,78.82,10
4b,1.16,30,0.40,74.66,10
4b,1.26,30,0.38,79.81,10
4b,1.07,30,0.38,79.10,10
4b,0.98,30,0.39,76.11,10
4b,1.13,30,0.38,79.85,10
4b,1.17,30,0.38,79.29,10
4b,1.22,30,0.38,79.79,10
4b,1.31,30,0.38,78.20,10
4b,1.19,30,0.39,77.75,10
4b,1.25,30,0.38,79.85,10
4b,1.29,30,0.38,79.29,10
4b,1.13,30,0.39,77.63,10
4b,1.22,30,0.37,81.23,10
4b,0.98,30,0.39,76.08,10
4b,1.09,30,0.38,78.77,10
4b,1.14,30,0.38,78.73,10
4b,1.23,30,0.38,78.44,10
4b,1.14,30,0.38,79.24,10
4b,1.29,30,0.43,70.32,10
4b,1.15,30,0.40,75.88,10
4b,1.22,30,0.38,79.22,10
4b,1.13,30,0.38,79.11,10
4b,1.30,30,0.40,75.19,10
4b,0.97,30,0.40,75.11,10
4b,1.09,30,0.39,77.89,10
4b,1.15,30,0.38,79.48,10
4b,1.19,30,0.38,78.82,10
4b,1.11,30,0.39,76.75,10
4b,1.18,30,0.38,79.19,10
4b,1.12,30,0.41,73.38,10
4b,1.20,30,0.39,77.67,10
4b,1.05,30,0.38,79.27,10
4b,1.28,30,0.41,73.45,10
4b,0.99,30,0.40,75.84,10
4b,1.19,30,0.43,70.17,10
4b,1.30,30,0.38,78.02,10
4b,1.14,30,0.39,77.53,10
4b,1.23,30,0.37,80.19,10
4b,1.30,30,0.43,70.56,10
4b,1.27,30,0.38,78.37,10
4b,1.18,30,0.39,77.75,10
4b,1.23,30,0.38,79.27,10
4b,1.26,30,0.37,81.85,10
4b,1.07,30,0.38,78.45,10
4b,1.13,30,0.39,76.73,10
4b,1.13,30,0.41,73.09,10
4b,1.30,30,0.42,71.51,10
4b,1.38,30,0.43,70.41,10
4b,1.22,30,0.40,75.55,10
4b,1.28,30,0.37,80.83,10
4b,1.30,30,0.38,79.23,10
4b,1.17,30,0.38,79.19,10
4b,1.31,30,0.37,80.35,10
4b,0.98,30,0.39,77.84,10
4b,1.08,30,0.37,80.25,10
4b,1.23,30,0.38,79.45,10
4b,1.06,30,0.41,73.72,10
4b,1.16,30,0.39,76.63,10
4b,1.12,30,0.41,73.94,10
4b,1.20,30,0.38,79.57,10
4b,1.26,30,0.38,79.46,10
4b,1.11,30,0.39,76.47,10
4b,1.17,30,0.37,81.88,10
4b,1.05,30,0.39,76.83,10
4b,1.14,30,0.39,77.43,10
4b,1.05,30,0.41,73.88,10
4b,1.29,30,0.43,70.49,10
4b,1.29,30,0.39,76.20,10
4b,1.17,30,0.39,76.01,10
4b,1.23,30,0.38,78.85,10
4b,1.16,30,0.40,75.03,10
4b,1.28,30,0.43,70.36,10
4b,1.11,30,0.39,77.59,10
4b,0.91,30,0.38,78.07,10
4b,1.08,30,0.39,77.91,10
4b,1.15,30,0.38,78.60,10
4b,1.11,30,0.45,67.02,10
4b,1.14,30,0.41,73.61,10
4b,1.31,30,0.39,77.39,10
4b,1.18,30,0.39,77.48,10
