model_size,init_time,tokens,decode_time,speed,count
1b,0.71,30,0.30,100.50,15
1b,0.81,30,0.32,92.43,15
1b,0.88,30,0.32,93.73,15
1b,0.79,30,0.32,93.56,15
1b,0.83,30,0.32,93.56,15
1b,0.81,30,0.31,98.11,15
1b,0.79,30,0.28,105.32,15
1b,0.84,30,0.33,92.04,15
1b,0.81,30,0.30,99.95,15
1b,0.77,30,0.29,105.01,15
1b,0.85,30,0.29,102.80,15
1b,0.78,30,0.29,104.85,15
1b,0.85,30,0.32,93.70,15
1b,0.83,30,0.30,98.94,15
1b,0.75,30,0.32,94.88,15
1b,0.74,30,0.29,103.40,15
1b,0.80,30,0.32,94.70,15
1b,0.75,30,0.31,97.10,15
1b,0.75,30,0.29,104.23,15
1b,0.82,30,0.32,92.41,15
1b,0.85,30,0.30,99.86,15
1b,0.77,30,0.32,94.99,15
1b,0.74,30,0.27,109.82,15
1b,0.78,30,0.30,99.53,15
1b,0.77,30,0.28,107.37,15
1b,0.74,30,0.27,109.50,15
1b,0.81,30,0.30,100.08,15
1b,0.90,30,0.31,98.12,15
1b,0.86,30,0.32,93.05,15
1b,0.75,30,0.30,101.62,15
1b,0.69,30,0.28,105.40,15
1b,0.68,30,0.27,110.29,15
1b,0.75,30,0.31,98.33,15
1b,0.76,30,0.28,106.14,15
1b,0.80,30,0.32,92.95,15
1b,0.76,30,0.30,100.29,15
1b,0.75,30,0.28,107.16,15
1b,0.70,30,0.27,110.75,15
1b,0.87,30,0.30,99.63,15
1b,0.85,30,0.32,92.74,15
1b,0.77,30,0.34,87.15,15
1b,0.78,30,0.28,106.59,15
1b,0.74,30,0.27,111.25,15
1b,0.71,30,0.30,99.70,15
1b,0.76,30,0.29,105.22,15
1b,0.69,30,0.29,104.90,15
1b,0.67,30,0.27,109.90,15
1b,0.76,30,0.31,98.33,15
1b,0.76,30,0.29,104.39,15
1b,0.76,30,0.27,111.19,15
1b,0.72,30,0.28,106.89,15
1b,0.71,30,0.27,109.50,15
1b,0.85,30,0.31,96.89,15
1b,0.87,30,0.28,105.67,15
1b,0.83,30,0.28,106.60,15
1b,0.76,30,0.30,101.02,15
1b,0.75,30,0.28,107.92,15
1b,0.73,30,0.27,110.32,15
1b,0.70,30,0.29,102.55,15
1b,0.75,30,0.28,106.50,15
1b,0.69,30,0.30,101.39,15
1b,0.71,30,0.28,108.30,15
1b,0.84,30,0.27,110.26,15
1b,0.78,30,0.30,101.02,15
1b,0.76,30,0.28,108.98,15
1b,0.72,30,0.28,108.70,15
1b,0.70,30,0.30,101.31,15
1b,0.76,30,0.28,106.76,15
1b,0.86,30,0.31,96.58,15
1b,0.85,30,0.33,92.10,15
1b,0.77,30,0.31,95.43,15
1b,0.75,30,0.27,109.59,15
1b,0.71,30,0.29,104.02,15
1b,0.76,30,0.28,108.90,15
1b,0.73,30,0.27,111.00,15
1b,0.71,30,0.28,107.96,15
1b,0.76,30,0.27,109.46,15
1b,0.75,30,0.30,101.54,15
1b,0.73,30,0.28,108.55,15
1b,0.81,30,0.31,95.98,15
1b,0.86,30,0.31,95.66,15
1b,0.76,30,0.29,103.61,15
1b,0.74,30,0.27,110.05,15
1b,0.71,30,0.29,102.57,15
